sym,result,pnl,equity,entry_time,exit_time,month,date,entry_hour,h4_bucket,h4_key
EURUSD,win,7241853.879487812,731427241.8282689,2025-09-04 09:00:00+00:00,2025-09-04 09:04:00+00:00,2025-09,2025-09-04,9,8,2025-09-04_08
EURUSD,loss,-14628544.836565375,716798696.9917035,2025-09-04 10:00:00+00:00,2025-09-05 01:00:00+00:00,2025-09,2025-09-04,10,8,2025-09-04_08
EURUSD,loss,-14335973.939834073,702462723.0518694,2025-09-04 15:00:00+00:00,2025-09-04 23:51:00+00:00,2025-09,2025-09-04,15,12,2025-09-04_12
EURUSD,win,7024627.230518694,709487350.2823881,2025-09-04 16:00:00+00:00,2025-09-04 18:40:00+00:00,2025-09,2025-09-04,16,16,2025-09-04_16
EURUSD,loss,-14189747.005647762,695297603.2767403,2025-09-04 17:00:00+00:00,2025-09-04 20:21:00+00:00,2025-09,2025-09-04,17,16,2025-09-04_16
EURUSD,win,27811904.13106961,723109507.40781,2025-09-04 23:00:00+00:00,2025-09-05 00:03:00+00:00,2025-09,2025-09-04,23,20,2025-09-04_20
EURUSD,win,28924380.296312403,752033887.7041223,2025-09-05 00:00:00+00:00,2025-09-05 09:10:00+00:00,2025-09,2025-09-05,0,0,2025-09-05_00
EURUSD,win,7520338.8770412225,759554226.5811635,2025-09-05 04:00:00+00:00,2025-09-05 06:11:00+00:00,2025-09,2025-09-05,4,4,2025-09-05_04
EURUSD,win,30382169.06324654,789936395.6444101,2025-09-05 05:00:00+00:00,2025-09-05 05:58:00+00:00,2025-09,2025-09-05,5,4,2025-09-05_04
EURUSD,win,31597455.825776406,821533851.4701866,2025-09-05 06:00:00+00:00,2025-09-05 12:30:00+00:00,2025-09,2025-09-05,6,4,2025-09-05_04
EURUSD,win,8215338.514701867,829749189.9848884,2025-09-05 07:00:00+00:00,2025-09-05 07:13:00+00:00,2025-09,2025-09-05,7,4,2025-09-05_04
EURUSD,win,33189967.59939554,862939157.5842841,2025-09-05 08:00:00+00:00,2025-09-05 12:30:00+00:00,2025-09,2025-09-05,8,8,2025-09-05_08
EURUSD,loss,-17258783.15168568,845680374.4325984,2025-09-07 22:00:00+00:00,2025-09-07 22:14:00+00:00,2025-09,2025-09-07,22,20,2025-09-07_20
EURUSD,win,33827214.97730394,879507589.4099023,2025-09-08 11:00:00+00:00,2025-09-08 13:11:00+00:00,2025-09,2025-09-08,11,8,2025-09-08_08
EURUSD,win,8795075.894099023,888302665.3040013,2025-09-08 13:00:00+00:00,2025-09-08 16:39:00+00:00,2025-09,2025-09-08,13,12,2025-09-08_12
EURUSD,win,35532106.61216006,923834771.9161614,2025-09-08 22:00:00+00:00,2025-09-09 01:53:00+00:00,2025-09,2025-09-08,22,20,2025-09-08_20
