entry_time,exit_time,dir,pnl,result,exit_type,month,pair
2025-10-16 19:00:00+00:00,2025-10-16 22:50:00+00:00,-1,33.61464285713964,win,HALF+SL,2025-10,EURJPY
2025-10-17 02:00:00+00:00,2025-10-17 03:26:00+00:00,-1,16.108392857142917,win,HALF+SL,2025-10,EURJPY
2025-10-17 06:00:00+00:00,2025-10-17 09:56:00+00:00,-1,73.76187500001095,win,HALF+TP,2025-10,EURJPY
2025-10-17 10:00:00+00:00,2025-10-17 15:07:00+00:00,-1,-49.27267857142965,loss,SL,2025-10,EURJPY
2025-10-17 20:00:00+00:00,2025-10-20 01:26:00+00:00,-1,-29.729642857145677,loss,SL,2025-10,EURJPY
2025-10-20 02:00:00+00:00,2025-10-20 06:53:00+00:00,1,43.4992857142845,win,HALF+SL,2025-10,EURJPY
2025-10-20 10:00:00+00:00,2025-10-20 10:36:00+00:00,-1,-25.20660714285725,loss,SL,2025-10,EURJPY
2025-10-20 12:00:00+00:00,2025-10-20 12:40:00+00:00,-1,31.222321428572286,win,HALF+SL,2025-10,EURJPY
2025-10-20 14:00:00+00:00,2025-10-21 03:00:00+00:00,-1,22.70642857142775,win,HALF+SL,2025-10,EURJPY
2025-10-21 04:00:00+00:00,2025-10-21 12:10:00+00:00,1,95.48312499999838,win,HALF+TP,2025-10,EURJPY
2025-10-21 16:00:00+00:00,2025-10-21 16:08:00+00:00,1,-16.875714285714594,loss,SL,2025-10,EURJPY
2025-10-21 20:00:00+00:00,2025-10-22 03:02:00+00:00,1,-20.918928571427386,loss,SL,2025-10,EURJPY
2025-10-22 10:00:00+00:00,2025-10-22 16:28:00+00:00,-1,21.512142857147865,win,HALF+SL,2025-10,EURJPY
2025-10-22 22:00:00+00:00,2025-10-23 09:58:00+00:00,1,89.78124999999295,win,HALF+TP,2025-10,EURJPY
2025-10-23 10:00:00+00:00,2025-10-24 16:50:00+00:00,1,114.260625,win,HALF+TP,2025-10,EURJPY
