entry_time,exit_time,dir,ep,exit_price,result,equity,tf
2025-05-26 01:00:00+00:00,2025-05-26 01:46:00+00:00,1,0.5995499999999999,0.6014066071428572,win,7903738.837833341,1h
2025-05-26 23:00:00+00:00,2025-05-26 23:25:00+00:00,1,0.59975,0.5994785714285714,loss,7739617.4849166125,1h
2025-05-27 14:00:00+00:00,2025-05-28 02:13:00+00:00,-1,0.5955100000000001,0.5955100000000001,loss,7817013.659765779,1h
2025-05-27 20:00:00+00:00,2025-05-27 21:29:00+00:00,-1,0.59477,0.5952092142857143,loss,7657030.91057658,1h
2025-05-28 00:00:00+00:00,2025-05-28 01:30:00+00:00,-1,0.59484,0.59484,loss,7733601.219682346,1h
2025-05-28 10:00:00+00:00,2025-05-28 22:32:00+00:00,-1,0.59699,0.59699,loss,7810937.231879169,1h
2025-05-28 11:00:00+00:00,2025-05-28 20:44:00+00:00,-1,0.59679,0.59679,loss,7889046.604197961,1h
2025-05-28 17:00:00+00:00,2025-05-28 23:38:00+00:00,1,0.5956899999999999,0.5956899999999999,loss,7967937.070239941,1h
2025-05-28 22:00:00+00:00,2025-05-28 22:32:00+00:00,-1,0.5965100000000001,0.596981642857143,loss,7805126.336912418,1h
2025-05-29 00:00:00+00:00,2025-05-29 06:26:00+00:00,-1,0.5955900000000001,0.5955900000000001,loss,7883177.600281542,1h
2025-05-29 10:00:00+00:00,2025-05-29 14:40:00+00:00,1,0.59676,0.59676,loss,7962009.376284357,1h
2025-05-29 22:00:00+00:00,2025-05-30 01:35:00+00:00,1,0.5972299999999999,0.5972299999999999,loss,8041629.470047201,1h
2025-05-29 23:00:00+00:00,2025-05-30 01:30:00+00:00,1,0.59751,0.59751,loss,8122045.764747673,1h
2025-05-30 07:00:00+00:00,2025-05-30 12:42:00+00:00,-1,0.59675,0.59675,loss,8203266.222395149,1h
2025-05-30 18:00:00+00:00,2025-06-02 01:25:00+00:00,1,0.59717,0.6006441071428574,win,8489791.919774529,1h
2025-05-30 20:00:00+00:00,2025-05-30 20:39:00+00:00,1,0.59744,0.5968526785714285,loss,8317054.984271057,1h
2025-06-01 22:00:00+00:00,2025-06-02 01:05:00+00:00,1,0.5971799999999999,0.5997682142857141,win,8607351.642261574,1h
2025-06-02 01:00:00+00:00,2025-06-03 00:43:00+00:00,1,0.59934,0.6050685714285715,win,8908233.971762788,1h
2025-06-02 03:00:00+00:00,2025-06-02 03:31:00+00:00,1,0.6001099999999999,0.5990574642857143,loss,8728360.337161843,1h
2025-06-02 05:00:00+00:00,2025-06-02 06:03:00+00:00,1,0.59954,0.59954,loss,8815643.940533461,1h
2025-06-02 06:00:00+00:00,2025-06-02 07:21:00+00:00,1,0.5997899999999999,0.6019251785714286,win,9123164.09965278,1h
2025-06-02 07:00:00+00:00,2025-06-02 19:58:00+00:00,1,0.60047,0.6042290178571428,win,9441869.701135106,1h
2025-06-02 10:00:00+00:00,2025-06-02 11:49:00+00:00,1,0.60195,0.6012213214285714,loss,9250404.743114684,1h
2025-06-02 23:00:00+00:00,2025-06-03 00:43:00+00:00,1,0.60361,0.6052659821428572,win,9572780.778287072,1h
2025-06-03 09:00:00+00:00,2025-06-03 09:35:00+00:00,-1,0.5998300000000001,0.6007478214285714,loss,9379216.205942614,1h
2025-06-03 23:00:00+00:00,2025-06-04 02:32:00+00:00,1,0.60027,0.60027,loss,9473008.36800204,1h
2025-06-04 01:00:00+00:00,2025-06-04 01:23:00+00:00,-1,0.60019,0.6008990357142857,loss,9280837.89323585,1h
