entry_time,exit_time,dir,pnl,result,exit_type,month,period,pair
2025-02-12 22:00:00+00:00,2025-02-13 01:01:00+00:00,1,-22.89607142857335,loss,SL,2025-02,,GBPJPY
2025-02-13 03:00:00+00:00,2025-02-13 10:39:00+00:00,1,43.13500000000374,win,HALF+SL,2025-02,,GBPJPY
2025-02-13 12:00:00+00:00,2025-02-13 13:46:00+00:00,1,-38.163214285714275,loss,SL,2025-02,,GBPJPY
2025-02-13 17:00:00+00:00,2025-02-13 20:40:00+00:00,1,49.827142857145645,win,HALF+SL,2025-02,,GBPJPY
2025-02-13 23:00:00+00:00,2025-02-14 02:21:00+00:00,1,31.728750000002037,win,HALF+SL,2025-02,,GBPJPY
2025-02-14 05:00:00+00:00,2025-02-14 15:31:00+00:00,1,44.63589285714704,win,HALF+SL,2025-02,,GBPJPY
2025-02-14 17:00:00+00:00,2025-02-14 23:03:00+00:00,1,-62.05303571428544,loss,SL,2025-02,,GBPJPY
2025-02-17 05:00:00+00:00,2025-02-18 04:40:00+00:00,-1,-59.08714285714325,loss,SL,2025-02,,GBPJPY
2025-02-18 15:00:00+00:00,2025-02-18 18:35:00+00:00,-1,-48.6049999999949,loss,SL,2025-02,,GBPJPY
2025-02-18 20:00:00+00:00,2025-02-19 03:31:00+00:00,1,56.87821428571738,win,HALF+SL,2025-02,,GBPJPY
2025-02-19 04:00:00+00:00,2025-02-19 09:00:00+00:00,1,-66.900714285714,loss,SL,2025-02,,GBPJPY
2025-02-19 11:00:00+00:00,2025-02-20 01:42:00+00:00,-1,145.5931249999992,win,HALF+TP,2025-02,,GBPJPY
2025-02-20 04:00:00+00:00,2025-02-21 04:40:00+00:00,-1,-138.738749999996,loss,SL,2025-02,,GBPJPY
2025-02-21 08:00:00+00:00,2025-02-21 08:12:00+00:00,-1,-19.552321428568575,loss,SL,2025-02,,GBPJPY
2025-02-21 12:00:00+00:00,2025-02-21 20:01:00+00:00,-1,243.91875000000027,win,HALF+TP,2025-02,,GBPJPY
2025-02-24 03:00:00+00:00,2025-02-24 03:46:00+00:00,-1,-48.00196428571155,loss,SL,2025-02,,GBPJPY
2025-02-24 09:00:00+00:00,2025-02-24 09:45:00+00:00,-1,68.67437500001472,win,HALF+TP,2025-02,,GBPJPY
2025-02-24 10:00:00+00:00,2025-02-24 15:48:00+00:00,-1,-52.80035714285418,loss,SL,2025-02,,GBPJPY
2025-02-24 17:00:00+00:00,2025-02-25 03:04:00+00:00,-1,-118.17410714285472,loss,SL,2025-02,,GBPJPY
2025-02-25 08:00:00+00:00,2025-02-25 13:25:00+00:00,-1,56.526607142859575,win,HALF+SL,2025-02,,GBPJPY
2025-02-25 15:00:00+00:00,2025-02-25 15:12:00+00:00,-1,-19.590178571425554,loss,SL,2025-02,,GBPJPY
2025-02-25 23:00:00+00:00,2025-02-26 02:54:00+00:00,-1,29.487321428572955,win,HALF+SL,2025-02,,GBPJPY
2025-02-26 03:00:00+00:00,2025-02-26 04:12:00+00:00,-1,-34.62839285714381,loss,SL,2025-02,,GBPJPY
2025-02-26 06:00:00+00:00,2025-02-26 15:36:00+00:00,-1,-32.091785714283105,loss,SL,2025-02,,GBPJPY
2025-02-26 19:00:00+00:00,2025-02-27 10:21:00+00:00,-1,57.90803571428853,win,HALF+SL,2025-02,,GBPJPY
2025-02-27 11:00:00+00:00,2025-02-27 21:41:00+00:00,1,-89.52857142857056,loss,SL,2025-02,,GBPJPY
2025-02-27 22:00:00+00:00,2025-02-28 09:42:00+00:00,-1,70.99464285714419,win,HALF+SL,2025-02,,GBPJPY
2025-02-28 10:00:00+00:00,2025-03-03 14:14:00+00:00,1,329.81125000000304,win,HALF+TP,2025-02,,GBPJPY
2025-03-03 19:00:00+00:00,2025-03-03 22:04:00+00:00,1,-38.87053571428112,loss,SL,2025-03,,GBPJPY
2025-03-04 02:00:00+00:00,2025-03-04 07:32:00+00:00,-1,49.77500000000532,win,HALF+SL,2025-03,,GBPJPY
2025-03-04 08:00:00+00:00,2025-03-04 15:55:00+00:00,1,-103.10660714285689,loss,SL,2025-03,,GBPJPY
2025-03-04 17:00:00+00:00,2025-03-04 17:06:00+00:00,1,-24.736964285710883,loss,SL,2025-03,,GBPJPY
2025-03-04 20:00:00+00:00,2025-03-10 11:53:00+00:00,1,146.0332142857169,win,HALF+SL,2025-03,,GBPJPY
2025-03-10 12:00:00+00:00,2025-03-11 15:55:00+00:00,-1,-153.94089285714188,loss,SL,2025-03,,GBPJPY
2025-03-11 16:00:00+00:00,2025-03-11 17:27:00+00:00,1,-80.19964285714138,loss,SL,2025-03,,GBPJPY
2025-03-11 19:00:00+00:00,2025-03-12 15:11:00+00:00,1,248.22812500000282,win,HALF+TP,2025-03,,GBPJPY
2025-03-12 16:00:00+00:00,2025-03-12 16:55:00+00:00,1,-80.04964285714493,loss,SL,2025-03,,GBPJPY
2025-03-12 19:00:00+00:00,2025-03-13 07:17:00+00:00,1,-59.692678571428814,loss,SL,2025-03,,GBPJPY
2025-03-13 17:00:00+00:00,2025-03-13 17:21:00+00:00,-1,-31.614107142854664,loss,SL,2025-03,,GBPJPY
2025-03-13 18:00:00+00:00,2025-03-14 01:07:00+00:00,-1,36.98142857143125,win,HALF+SL,2025-03,,GBPJPY
2025-03-14 02:00:00+00:00,2025-03-14 09:35:00+00:00,1,110.90187500000752,win,HALF+TP,2025-03,,GBPJPY
2025-03-14 10:00:00+00:00,2025-03-14 10:09:00+00:00,1,-31.8089285714251,loss,SL,2025-03,,GBPJPY
2025-03-14 12:00:00+00:00,2025-03-14 17:20:00+00:00,1,-54.64535714285432,loss,SL,2025-03,,GBPJPY
2025-03-17 01:00:00+00:00,2025-03-17 02:00:00+00:00,1,-26.71196428571534,loss,SL,2025-03,,GBPJPY
2025-03-17 04:00:00+00:00,2025-03-17 15:30:00+00:00,1,44.625535714288844,win,HALF+SL,2025-03,,GBPJPY
2025-03-17 16:00:00+00:00,2025-03-20 03:13:00+00:00,1,75.96982142857485,win,HALF+SL,2025-03,,GBPJPY
2025-03-20 07:00:00+00:00,2025-03-20 09:29:00+00:00,-1,60.40999999999883,win,HALF+TP,2025-03,,GBPJPY
2025-03-20 12:00:00+00:00,2025-03-20 15:04:00+00:00,-1,50.53107142857414,win,HALF+SL,2025-03,,GBPJPY
2025-03-20 16:00:00+00:00,2025-03-20 17:17:00+00:00,-1,-66.8680357142847,loss,SL,2025-03,,GBPJPY
2025-03-20 20:00:00+00:00,2025-03-21 04:13:00+00:00,-1,-43.72446428571379,loss,SL,2025-03,,GBPJPY
2025-03-21 10:00:00+00:00,2025-03-21 10:26:00+00:00,1,-31.721071428569303,loss,SL,2025-03,,GBPJPY
2025-03-21 13:00:00+00:00,2025-03-21 15:54:00+00:00,-1,119.64750000001061,win,HALF+TP,2025-03,,GBPJPY
2025-03-21 16:00:00+00:00,2025-03-24 03:58:00+00:00,-1,-138.44321428571504,loss,SL,2025-03,,GBPJPY
2025-03-24 04:00:00+00:00,2025-03-25 18:20:00+00:00,1,115.35160714286121,win,HALF+SL,2025-03,,GBPJPY
2025-03-25 19:00:00+00:00,2025-03-26 07:59:00+00:00,1,109.78375000001392,win,HALF+TP,2025-03,,GBPJPY
2025-03-26 12:00:00+00:00,2025-03-27 12:27:00+00:00,-1,-112.87285714285815,loss,SL,2025-03,,GBPJPY
2025-03-27 18:00:00+00:00,2025-03-28 10:55:00+00:00,1,-76.21571428571201,loss,SL,2025-03,,GBPJPY
2025-03-28 15:00:00+00:00,2025-03-28 15:05:00+00:00,1,-13.137857142857001,loss,SL,2025-03,,GBPJPY
