time,dir,ep,sl,tp,risk,tf,entry_time,half_closed,exit_time,exit_price,pnl,type
2024-10-04 14:59:00+00:00,1,148.40200000000002,148.40200000000002,148.7828035714287,0.1523214285714687,1h,2024-10-04 14:59:00+00:00,True,2024-10-04 16:00:00+00:00,148.7828035714287,38.08035714286859,TP
2024-10-04 18:59:00+00:00,1,148.78900000000002,148.69468214285715,149.0247946428572,0.09431785714286889,1h,2024-10-04 18:59:00+00:00,False,2024-10-04 19:00:00+00:00,148.88331785714288,9.431785714286889,HALF_TP
2024-10-04 18:59:00+00:00,1,148.78900000000002,148.78900000000002,149.0247946428572,0.09431785714286889,1h,2024-10-04 18:59:00+00:00,True,2024-10-04 19:00:00+00:00,148.78900000000002,0.0,SL
2024-10-06 21:59:00+00:00,1,148.637,148.52445,148.918375,0.11254999999999882,1h,2024-10-06 21:59:00+00:00,False,2024-10-06 22:00:00+00:00,148.74955,11.254999999999882,HALF_TP
2024-10-06 21:59:00+00:00,1,148.637,148.637,148.918375,0.11254999999999882,1h,2024-10-06 21:59:00+00:00,True,2024-10-06 22:00:00+00:00,148.918375,28.137499999999704,TP
2024-10-06 23:59:00+00:00,1,148.93200000000002,148.48813928571428,150.04165178571435,0.4438607142857336,4h,2024-10-06 23:59:00+00:00,False,2024-10-07 00:00:00+00:00,148.48813928571428,-44.38607142857336,SL
2024-10-07 04:59:00+00:00,1,148.407,148.29440714285715,148.68848214285714,0.11259285714285738,1h,2024-10-07 04:59:00+00:00,False,2024-10-07 05:00:00+00:00,148.51959285714287,11.259285714285738,HALF_TP
2024-10-07 04:59:00+00:00,1,148.407,148.407,148.68848214285714,0.11259285714285738,1h,2024-10-07 04:59:00+00:00,True,2024-10-07 05:00:00+00:00,148.407,0.0,SL
2024-10-07 10:59:00+00:00,1,148.347,148.1524607142857,148.8333482142858,0.19453928571431334,1h,2024-10-07 10:59:00+00:00,False,2024-10-07 11:00:00+00:00,148.54153928571432,19.453928571431334,HALF_TP
2024-10-07 10:59:00+00:00,1,148.347,148.347,148.8333482142858,0.19453928571431334,1h,2024-10-07 10:59:00+00:00,True,2024-10-07 11:00:00+00:00,148.347,0.0,SL
2024-10-07 14:59:00+00:00,1,148.63500000000002,147.78314642857143,150.7646339285715,0.8518535714285917,1h,2024-10-07 14:59:00+00:00,False,2024-11-03 22:00:00+00:00,149.4868535714286,85.18535714285917,HALF_TP
2024-10-07 14:59:00+00:00,1,148.63500000000002,148.63500000000002,150.7646339285715,0.8518535714285917,1h,2024-10-07 14:59:00+00:00,True,2024-11-03 22:00:00+00:00,150.7646339285715,212.96339285714794,TP
2024-11-04 02:59:00+00:00,1,151.791,151.6509714285714,152.14107142857148,0.14002857142858716,1h,2024-11-04 02:59:00+00:00,False,2024-11-04 03:00:00+00:00,151.6509714285714,-14.002857142858716,SL
